model_key,model_id,task,sample_id,source_file,candidate_source,candidate_text,reference_text,candidate_len,reference_len,parse_error,has_candidate,has_reference,embedding_cosine_similarity,bertscore_precision,bertscore_recall,bertscore_f1
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-001,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,운동하기 프로젝트 기획서 쓰기 장보기,오늘 운동 운동하기 오늘 프로젝트 프로젝트 기획서 작성하기 오늘 생활 장보기,20,42,,True,True,0.782166,0.87408996,0.80419785,0.83768857
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-002,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,2024-05-27 09:00 발표 자료 수정,내일 프로젝트 오전 발표 자료 수정하기 내일 회의 오후 5시 팀 회의 참석하기,25,43,,True,True,0.5733807,0.67974055,0.66982734,0.6747475
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-003,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,2024-06-01 학습 2시간 자격증 강의 3개 듣기,이번 주 공부 자격증 강의 3개 듣기 이번 주 공부 기출 1회 풀기,30,37,,True,True,0.80190086,0.743815,0.75689906,0.7503
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-004,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,2024-05-27 일정 09:00 방 청소,오늘 집안일 빨래 돌리기 오늘 집안일 방 청소하기,24,27,,True,True,0.7203741,0.58380973,0.6182695,0.60054564
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-005,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,금요일 보고서 초안 작성 금요일 참고 자료 정리,금요일까지 업무 보고서 초안 작성하기 금요일까지 업무 참고자료 정리하기,26,39,,True,True,0.9027805,0.8858598,0.8244745,0.85406554
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-006,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,2024-05-27 19:00 저녁 7시 산책,운동 저녁 7시 산책하기 요리 샐러드 준비하기,25,25,,True,True,0.4918738,0.6788417,0.71499443,0.6964492
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-007,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,2024-05-27 깃 커밋 2024-05-27 버그 목록 정리 2024-05-27 테스트 돌리기,오늘 개발 깃 커밋하기 오늘 개발 버그 목록 정리하기 오늘 개발 테스트 돌리기,54,43,,True,True,0.57181513,0.75452864,0.8033872,0.7781918
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-008,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,2024-05-27 독서 책 30쪽 읽기,내일 독서 책 30쪽 읽기 내일 독서 독서 메모 남기기,22,30,,True,True,0.74100643,0.7399154,0.79422987,0.76611114
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-009,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,2024-05-27 운동 10:00 오전 10시,건강 오전 10시 물 마시기 운동 오전 10시 스트레칭하기,26,32,,True,True,0.8685757,0.6269357,0.65856445,0.642361
llama-3b,meta-llama/Llama-3.2-3B-Instruct,todo_decomposition,TODO-SAMPLE-010,raw_outputs-llama-3b_gemma3-4b.jsonl,raw_output,"{""todos"": [{""title"": ""책상 정리하기"", ""tag"": ""일정"", ""date"": null, ""time"": null}, {""title"": ""메일 확인하기"", ""tag"": ""일정"", ""date"": null, ""time"": null}]",정리 책상 정리하기 업무 메일 확인하기,136,21,"Expecting ',' delimiter: line 1 column 137 (char 136)",True,True,0.26260805,0.4629804,0.7079901,0.55985284
llama-3b,meta-llama/Llama-3.2-3B-Instruct,planner_chatbot,PLAN-SAMPLE-001,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,3일 후 정처기 필기 시험은 3단원만 완료한 것이라면 어떻게 할 수 있을까요?,하루에 어느 정도 시간을 쓸 수 있어?,43,21,,True,True,0.2698631,0.69000673,0.7405089,0.7143663
llama-3b,meta-llama/Llama-3.2-3B-Instruct,planner_chatbot,PLAN-SAMPLE-002,raw_outputs-llama-3b_gemma3-4b.jsonl,parsed_output,다음 주 프로젝트 발표까지 하루 2시간으로 준비할 수 있는 계획을 짜보겠습니다. 다음 질문을 해보겠습니다. 1. 프로젝트 발표 내용은 무엇인가요? 2. 발표에 필요한 자료가 있나요? 3. 발표 전 preparation 시간은 어떤 활동을 포함할까요?,프로젝트 발표 목표를 무리하지 않게 나누어 핵심 작업부터 진행합니다. 2026-05-21 프로젝트 발표 흐름 정리 2026-05-22 프로젝트 슬라이드 다듬기 발표 흐름 정리 2026-05-21 프로젝트 프로젝트 발표 1차 진행 슬라이드 다듬기 2026-05-22 프로젝트 프로젝트 발표 2차 진행,139,166,,True,True,0.5365885,0.6750763,0.66254926,0.66875416
