model_key,task,samples,auto_score,json_parse_success_rate,schema_success_rate,korean_output_rate,length_success_rate,forbidden_count,avg_latency_sec,total_latency_sec,avg_generated_tokens,avg_tokens_per_sec,speed_score,judge_score,final_score,samples_per_min
exaone,character_message_generation,10,4.245,1.0,1.0,1.0,1.0,0,2.163,21.634,,,4.95,,,27.734
exaone,feed_post_generation,20,4.744,1.0,1.0,1.0,1.0,0,2.664,53.273,,,4.795,,,22.526
exaone,planner_chatbot,20,4.22,0.85,0.85,1.0,1.0,0,5.361,107.218,,,4.914,,,11.192
exaone,quest_generation,20,3.964,0.9,0.9,1.0,0.0,0,2.113,42.261,,,4.961,,,28.395
exaone,todo_decomposition,20,4.48,0.8,0.8,1.0,1.0,0,2.688,53.764,,,4.788,,,22.32
kanana,character_message_generation,10,4.156,1.0,1.0,1.0,1.0,0,0.312,3.117,,,5.0,,,192.48
kanana,feed_post_generation,20,4.738,0.95,0.95,1.0,1.0,0,0.385,7.702,,,5.0,,,155.8
kanana,planner_chatbot,20,4.24,0.8,0.8,0.7,1.0,0,2.279,45.589,,,5.0,,,26.322
kanana,quest_generation,20,3.728,0.9,0.9,1.0,0.2,0,0.284,5.673,,,5.0,,,211.539
kanana,todo_decomposition,20,4.947,1.0,1.0,1.0,1.0,0,0.584,11.676,,,5.0,,,102.773
llama-8b,character_message_generation,10,4.132,1.0,1.0,1.0,1.0,0,0.453,4.526,,,5.0,,,132.562
llama-8b,feed_post_generation,20,4.734,0.95,0.95,1.0,1.0,0,0.717,14.333,,,5.0,,,83.721
llama-8b,planner_chatbot,20,3.5,1.0,1.0,1.0,1.0,0,0.683,13.652,,,5.0,,,87.902
llama-8b,quest_generation,20,3.476,0.65,0.65,1.0,0.15,0,0.607,12.139,,,5.0,,,98.853
llama-8b,todo_decomposition,20,4.96,1.0,1.0,1.0,1.0,0,0.809,16.172,,,5.0,,,74.202
midm-base,character_message_generation,10,4.29,1.0,1.0,1.0,1.0,0,0.591,5.913,,,5.0,,,101.466
midm-base,feed_post_generation,20,4.748,1.0,1.0,1.0,1.0,0,0.692,13.845,,,5.0,,,86.671
midm-base,planner_chatbot,20,4.2,1.0,1.0,1.0,1.0,0,2.784,55.685,,,4.99,,,21.55
midm-base,quest_generation,20,4.058,0.95,0.95,1.0,0.0,0,0.755,15.099,,,5.0,,,79.477
midm-base,todo_decomposition,20,4.9,1.0,1.0,1.0,1.0,0,0.898,17.951,,,5.0,,,66.849
midm-mini,character_message_generation,10,4.2,1.0,1.0,1.0,1.0,0,0.34,3.399,,,5.0,,,176.523
midm-mini,feed_post_generation,20,4.776,1.0,1.0,1.0,1.0,0,0.448,8.958,,,5.0,,,133.954
midm-mini,planner_chatbot,20,3.62,1.0,1.0,1.0,1.0,0,0.952,19.047,,,5.0,,,63.003
midm-mini,quest_generation,20,3.606,0.7,0.7,1.0,0.0,0,0.489,9.777,,,5.0,,,122.732
midm-mini,todo_decomposition,20,4.7,0.9,0.9,1.0,1.0,0,0.98,19.594,,,5.0,,,61.243
qwen-7b,character_message_generation,10,4.201,1.0,1.0,1.0,1.0,0,0.491,4.912,,,5.0,,,122.147
qwen-7b,feed_post_generation,20,4.608,0.95,0.95,1.0,1.0,0,0.636,12.721,,,5.0,,,94.329
qwen-7b,planner_chatbot,20,4.0,0.6,0.6,1.0,1.0,0,3.739,74.786,,,4.99,,,16.046
qwen-7b,quest_generation,20,3.524,0.65,0.65,1.0,0.0,0,0.612,12.244,,,5.0,,,98.01
qwen-7b,todo_decomposition,20,4.69,1.0,1.0,1.0,1.0,0,0.928,18.566,,,5.0,,,64.633
