task,sample_id,model_a,model_b,pairwise_cosine_similarity
character_message_generation,MSG-SAMPLE-001,exaone,kanana,0.8674205541610718
character_message_generation,MSG-SAMPLE-001,exaone,llama-8b,0.9211944341659546
character_message_generation,MSG-SAMPLE-001,exaone,midm-base,0.8746747374534607
character_message_generation,MSG-SAMPLE-001,exaone,midm-mini,0.9076727628707886
character_message_generation,MSG-SAMPLE-001,exaone,qwen-7b,0.8337357044219971
character_message_generation,MSG-SAMPLE-001,kanana,llama-8b,0.8557771444320679
character_message_generation,MSG-SAMPLE-001,kanana,midm-base,0.7347303628921509
character_message_generation,MSG-SAMPLE-001,kanana,midm-mini,0.7831388711929321
character_message_generation,MSG-SAMPLE-001,kanana,qwen-7b,0.7268319725990295
character_message_generation,MSG-SAMPLE-001,llama-8b,midm-base,0.8390295505523682
character_message_generation,MSG-SAMPLE-001,llama-8b,midm-mini,0.8896675705909729
character_message_generation,MSG-SAMPLE-001,llama-8b,qwen-7b,0.8306742906570435
character_message_generation,MSG-SAMPLE-001,midm-base,midm-mini,0.9032381772994995
character_message_generation,MSG-SAMPLE-001,midm-base,qwen-7b,0.8077188730239868
character_message_generation,MSG-SAMPLE-001,midm-mini,qwen-7b,0.8291764259338379
character_message_generation,MSG-SAMPLE-002,exaone,kanana,0.8534621000289917
character_message_generation,MSG-SAMPLE-002,exaone,llama-8b,0.8880808353424072
character_message_generation,MSG-SAMPLE-002,exaone,midm-base,0.8531386852264404
character_message_generation,MSG-SAMPLE-002,exaone,midm-mini,0.8920843601226807
character_message_generation,MSG-SAMPLE-002,exaone,qwen-7b,0.871640682220459
character_message_generation,MSG-SAMPLE-002,kanana,llama-8b,0.8037296533584595
character_message_generation,MSG-SAMPLE-002,kanana,midm-base,0.780086874961853
character_message_generation,MSG-SAMPLE-002,kanana,midm-mini,0.8162143230438232
character_message_generation,MSG-SAMPLE-002,kanana,qwen-7b,0.7765215039253235
character_message_generation,MSG-SAMPLE-002,llama-8b,midm-base,0.8063488006591797
character_message_generation,MSG-SAMPLE-002,llama-8b,midm-mini,0.8582260608673096
character_message_generation,MSG-SAMPLE-002,llama-8b,qwen-7b,0.8603428602218628
character_message_generation,MSG-SAMPLE-002,midm-base,midm-mini,0.8612421154975891
character_message_generation,MSG-SAMPLE-002,midm-base,qwen-7b,0.8537480235099792
character_message_generation,MSG-SAMPLE-002,midm-mini,qwen-7b,0.8476351499557495
character_message_generation,MSG-SAMPLE-003,exaone,kanana,0.8307837247848511
character_message_generation,MSG-SAMPLE-003,exaone,llama-8b,0.8349359035491943
character_message_generation,MSG-SAMPLE-003,exaone,midm-base,0.8119089603424072
character_message_generation,MSG-SAMPLE-003,exaone,midm-mini,0.8781038522720337
character_message_generation,MSG-SAMPLE-003,exaone,qwen-7b,0.8169770240783691
character_message_generation,MSG-SAMPLE-003,kanana,llama-8b,0.8363173007965088
character_message_generation,MSG-SAMPLE-003,kanana,midm-base,0.8045319318771362
character_message_generation,MSG-SAMPLE-003,kanana,midm-mini,0.8269888162612915
character_message_generation,MSG-SAMPLE-003,kanana,qwen-7b,0.7788910269737244
character_message_generation,MSG-SAMPLE-003,llama-8b,midm-base,0.8355861306190491
character_message_generation,MSG-SAMPLE-003,llama-8b,midm-mini,0.8654614686965942
character_message_generation,MSG-SAMPLE-003,llama-8b,qwen-7b,0.9024665355682373
character_message_generation,MSG-SAMPLE-003,midm-base,midm-mini,0.8645021915435791
character_message_generation,MSG-SAMPLE-003,midm-base,qwen-7b,0.7889018654823303
character_message_generation,MSG-SAMPLE-003,midm-mini,qwen-7b,0.8854260444641113
character_message_generation,MSG-SAMPLE-004,exaone,kanana,0.8867728114128113
character_message_generation,MSG-SAMPLE-004,exaone,llama-8b,0.9105180501937866
character_message_generation,MSG-SAMPLE-004,exaone,midm-base,0.8544114828109741
character_message_generation,MSG-SAMPLE-004,exaone,midm-mini,0.7154393196105957
character_message_generation,MSG-SAMPLE-004,exaone,qwen-7b,0.7325276732444763
character_message_generation,MSG-SAMPLE-004,kanana,llama-8b,0.8370754718780518
character_message_generation,MSG-SAMPLE-004,kanana,midm-base,0.7568212747573853
character_message_generation,MSG-SAMPLE-004,kanana,midm-mini,0.7594356536865234
character_message_generation,MSG-SAMPLE-004,kanana,qwen-7b,0.8423742055892944
character_message_generation,MSG-SAMPLE-004,llama-8b,midm-base,0.8436687588691711
character_message_generation,MSG-SAMPLE-004,llama-8b,midm-mini,0.7401981353759766
character_message_generation,MSG-SAMPLE-004,llama-8b,qwen-7b,0.7489635348320007
character_message_generation,MSG-SAMPLE-004,midm-base,midm-mini,0.5527735948562622
character_message_generation,MSG-SAMPLE-004,midm-base,qwen-7b,0.6013973951339722
character_message_generation,MSG-SAMPLE-004,midm-mini,qwen-7b,0.8795254230499268
character_message_generation,MSG-SAMPLE-005,exaone,kanana,0.7250332832336426
character_message_generation,MSG-SAMPLE-005,exaone,llama-8b,0.8037495017051697
character_message_generation,MSG-SAMPLE-005,exaone,midm-base,0.7168806791305542
character_message_generation,MSG-SAMPLE-005,exaone,midm-mini,0.7116780281066895
character_message_generation,MSG-SAMPLE-005,exaone,qwen-7b,0.7823306918144226
character_message_generation,MSG-SAMPLE-005,kanana,llama-8b,0.8841018676757812
character_message_generation,MSG-SAMPLE-005,kanana,midm-base,0.8078317046165466
character_message_generation,MSG-SAMPLE-005,kanana,midm-mini,0.8683035373687744
character_message_generation,MSG-SAMPLE-005,kanana,qwen-7b,0.8033488988876343
character_message_generation,MSG-SAMPLE-005,llama-8b,midm-base,0.7812362313270569
character_message_generation,MSG-SAMPLE-005,llama-8b,midm-mini,0.7885217666625977
character_message_generation,MSG-SAMPLE-005,llama-8b,qwen-7b,0.8493971824645996
character_message_generation,MSG-SAMPLE-005,midm-base,midm-mini,0.8842998147010803
character_message_generation,MSG-SAMPLE-005,midm-base,qwen-7b,0.7879411578178406
character_message_generation,MSG-SAMPLE-005,midm-mini,qwen-7b,0.8116520643234253
character_message_generation,MSG-SAMPLE-006,exaone,kanana,0.8094176054000854
character_message_generation,MSG-SAMPLE-006,exaone,llama-8b,0.914043128490448
character_message_generation,MSG-SAMPLE-006,exaone,midm-base,0.8885219693183899
character_message_generation,MSG-SAMPLE-006,exaone,midm-mini,0.8775869607925415
character_message_generation,MSG-SAMPLE-006,exaone,qwen-7b,0.8319891691207886
character_message_generation,MSG-SAMPLE-006,kanana,llama-8b,0.8235560655593872
character_message_generation,MSG-SAMPLE-006,kanana,midm-base,0.8621706962585449
character_message_generation,MSG-SAMPLE-006,kanana,midm-mini,0.8149042129516602
character_message_generation,MSG-SAMPLE-006,kanana,qwen-7b,0.8226304054260254
character_message_generation,MSG-SAMPLE-006,llama-8b,midm-base,0.9292324781417847
character_message_generation,MSG-SAMPLE-006,llama-8b,midm-mini,0.8524696826934814
character_message_generation,MSG-SAMPLE-006,llama-8b,qwen-7b,0.8885269165039062
character_message_generation,MSG-SAMPLE-006,midm-base,midm-mini,0.8635849356651306
character_message_generation,MSG-SAMPLE-006,midm-base,qwen-7b,0.8900359869003296
character_message_generation,MSG-SAMPLE-006,midm-mini,qwen-7b,0.8471365571022034
character_message_generation,MSG-SAMPLE-007,exaone,kanana,0.8258321285247803
character_message_generation,MSG-SAMPLE-007,exaone,llama-8b,0.8596733212471008
character_message_generation,MSG-SAMPLE-007,exaone,midm-base,0.9015898108482361
character_message_generation,MSG-SAMPLE-007,exaone,midm-mini,0.8275802135467529
character_message_generation,MSG-SAMPLE-007,exaone,qwen-7b,0.8786643743515015
character_message_generation,MSG-SAMPLE-007,kanana,llama-8b,0.7942719459533691
character_message_generation,MSG-SAMPLE-007,kanana,midm-base,0.7520406246185303
character_message_generation,MSG-SAMPLE-007,kanana,midm-mini,0.7353150844573975
character_message_generation,MSG-SAMPLE-007,kanana,qwen-7b,0.8060653805732727
character_message_generation,MSG-SAMPLE-007,llama-8b,midm-base,0.8554748296737671
character_message_generation,MSG-SAMPLE-007,llama-8b,midm-mini,0.7586276531219482
character_message_generation,MSG-SAMPLE-007,llama-8b,qwen-7b,0.8713178038597107
character_message_generation,MSG-SAMPLE-007,midm-base,midm-mini,0.7702139019966125
character_message_generation,MSG-SAMPLE-007,midm-base,qwen-7b,0.8857285380363464
character_message_generation,MSG-SAMPLE-007,midm-mini,qwen-7b,0.8197242617607117
character_message_generation,MSG-SAMPLE-008,exaone,kanana,0.7576360106468201
character_message_generation,MSG-SAMPLE-008,exaone,llama-8b,0.8566769361495972
character_message_generation,MSG-SAMPLE-008,exaone,midm-base,0.7557762861251831
character_message_generation,MSG-SAMPLE-008,exaone,midm-mini,0.8216831684112549
character_message_generation,MSG-SAMPLE-008,exaone,qwen-7b,0.7305521965026855
character_message_generation,MSG-SAMPLE-008,kanana,llama-8b,0.8326983451843262
character_message_generation,MSG-SAMPLE-008,kanana,midm-base,0.7706682682037354
character_message_generation,MSG-SAMPLE-008,kanana,midm-mini,0.7946270704269409
character_message_generation,MSG-SAMPLE-008,kanana,qwen-7b,0.7351210117340088
character_message_generation,MSG-SAMPLE-008,llama-8b,midm-base,0.7895959615707397
character_message_generation,MSG-SAMPLE-008,llama-8b,midm-mini,0.8260954022407532
character_message_generation,MSG-SAMPLE-008,llama-8b,qwen-7b,0.7585620880126953
character_message_generation,MSG-SAMPLE-008,midm-base,midm-mini,0.7337740659713745
character_message_generation,MSG-SAMPLE-008,midm-base,qwen-7b,0.698321521282196
character_message_generation,MSG-SAMPLE-008,midm-mini,qwen-7b,0.6719210743904114
character_message_generation,MSG-SAMPLE-009,exaone,kanana,0.8405989408493042
character_message_generation,MSG-SAMPLE-009,exaone,llama-8b,0.7518026828765869
character_message_generation,MSG-SAMPLE-009,exaone,midm-base,0.8704540729522705
character_message_generation,MSG-SAMPLE-009,exaone,midm-mini,0.7472851276397705
character_message_generation,MSG-SAMPLE-009,exaone,qwen-7b,0.6364717483520508
character_message_generation,MSG-SAMPLE-009,kanana,llama-8b,0.8088259100914001
character_message_generation,MSG-SAMPLE-009,kanana,midm-base,0.7659056186676025
character_message_generation,MSG-SAMPLE-009,kanana,midm-mini,0.7258955240249634
character_message_generation,MSG-SAMPLE-009,kanana,qwen-7b,0.6891019344329834
character_message_generation,MSG-SAMPLE-009,llama-8b,midm-base,0.727881908416748
character_message_generation,MSG-SAMPLE-009,llama-8b,midm-mini,0.6863959431648254
character_message_generation,MSG-SAMPLE-009,llama-8b,qwen-7b,0.6042195558547974
character_message_generation,MSG-SAMPLE-009,midm-base,midm-mini,0.8426887392997742
character_message_generation,MSG-SAMPLE-009,midm-base,qwen-7b,0.6391935348510742
character_message_generation,MSG-SAMPLE-009,midm-mini,qwen-7b,0.6561506986618042
character_message_generation,MSG-SAMPLE-010,exaone,kanana,0.7005037069320679
character_message_generation,MSG-SAMPLE-010,exaone,llama-8b,0.7692468166351318
character_message_generation,MSG-SAMPLE-010,exaone,midm-base,0.8378122448921204
character_message_generation,MSG-SAMPLE-010,exaone,midm-mini,0.7862233519554138
character_message_generation,MSG-SAMPLE-010,exaone,qwen-7b,0.8686815500259399
character_message_generation,MSG-SAMPLE-010,kanana,llama-8b,0.6969563961029053
character_message_generation,MSG-SAMPLE-010,kanana,midm-base,0.7266871333122253
character_message_generation,MSG-SAMPLE-010,kanana,midm-mini,0.7075039744377136
character_message_generation,MSG-SAMPLE-010,kanana,qwen-7b,0.8003731966018677
character_message_generation,MSG-SAMPLE-010,llama-8b,midm-base,0.8275716304779053
character_message_generation,MSG-SAMPLE-010,llama-8b,midm-mini,0.8011125326156616
character_message_generation,MSG-SAMPLE-010,llama-8b,qwen-7b,0.7844239473342896
character_message_generation,MSG-SAMPLE-010,midm-base,midm-mini,0.9436620473861694
character_message_generation,MSG-SAMPLE-010,midm-base,qwen-7b,0.8998565673828125
character_message_generation,MSG-SAMPLE-010,midm-mini,qwen-7b,0.8418017625808716
feed_post_generation,FEED-SAMPLE-001,exaone,kanana,0.8872892260551453
feed_post_generation,FEED-SAMPLE-001,exaone,llama-8b,0.8727397918701172
feed_post_generation,FEED-SAMPLE-001,exaone,midm-base,0.8925456404685974
feed_post_generation,FEED-SAMPLE-001,exaone,midm-mini,0.9102275371551514
feed_post_generation,FEED-SAMPLE-001,exaone,qwen-7b,0.9038437008857727
feed_post_generation,FEED-SAMPLE-001,kanana,llama-8b,0.8606933951377869
feed_post_generation,FEED-SAMPLE-001,kanana,midm-base,0.841200590133667
feed_post_generation,FEED-SAMPLE-001,kanana,midm-mini,0.8885306119918823
feed_post_generation,FEED-SAMPLE-001,kanana,qwen-7b,0.8319148421287537
feed_post_generation,FEED-SAMPLE-001,llama-8b,midm-base,0.7733383178710938
feed_post_generation,FEED-SAMPLE-001,llama-8b,midm-mini,0.8907250761985779
feed_post_generation,FEED-SAMPLE-001,llama-8b,qwen-7b,0.8487080335617065
feed_post_generation,FEED-SAMPLE-001,midm-base,midm-mini,0.8577550053596497
feed_post_generation,FEED-SAMPLE-001,midm-base,qwen-7b,0.8569948673248291
feed_post_generation,FEED-SAMPLE-001,midm-mini,qwen-7b,0.9106918573379517
feed_post_generation,FEED-SAMPLE-002,exaone,kanana,0.8559301495552063
feed_post_generation,FEED-SAMPLE-002,exaone,llama-8b,0.9221409559249878
feed_post_generation,FEED-SAMPLE-002,exaone,midm-base,0.7519282102584839
feed_post_generation,FEED-SAMPLE-002,exaone,midm-mini,0.8662302494049072
feed_post_generation,FEED-SAMPLE-002,exaone,qwen-7b,0.7389389276504517
feed_post_generation,FEED-SAMPLE-002,kanana,llama-8b,0.826156735420227
feed_post_generation,FEED-SAMPLE-002,kanana,midm-base,0.6475837230682373
feed_post_generation,FEED-SAMPLE-002,kanana,midm-mini,0.8337415456771851
feed_post_generation,FEED-SAMPLE-002,kanana,qwen-7b,0.7746524214744568
feed_post_generation,FEED-SAMPLE-002,llama-8b,midm-base,0.7043639421463013
feed_post_generation,FEED-SAMPLE-002,llama-8b,midm-mini,0.8308333158493042
feed_post_generation,FEED-SAMPLE-002,llama-8b,qwen-7b,0.6922710537910461
feed_post_generation,FEED-SAMPLE-002,midm-base,midm-mini,0.6471525430679321
feed_post_generation,FEED-SAMPLE-002,midm-base,qwen-7b,0.6194088459014893
feed_post_generation,FEED-SAMPLE-002,midm-mini,qwen-7b,0.7306936979293823
feed_post_generation,FEED-SAMPLE-003,exaone,kanana,0.9011854529380798
feed_post_generation,FEED-SAMPLE-003,exaone,llama-8b,0.8886493444442749
feed_post_generation,FEED-SAMPLE-003,exaone,midm-base,0.9192044734954834
feed_post_generation,FEED-SAMPLE-003,exaone,midm-mini,0.8784681558609009
feed_post_generation,FEED-SAMPLE-003,exaone,qwen-7b,0.6329892873764038
feed_post_generation,FEED-SAMPLE-003,kanana,llama-8b,0.8543959259986877
feed_post_generation,FEED-SAMPLE-003,kanana,midm-base,0.8721823692321777
feed_post_generation,FEED-SAMPLE-003,kanana,midm-mini,0.789161205291748
feed_post_generation,FEED-SAMPLE-003,kanana,qwen-7b,0.5952464938163757
feed_post_generation,FEED-SAMPLE-003,llama-8b,midm-base,0.879580557346344
feed_post_generation,FEED-SAMPLE-003,llama-8b,midm-mini,0.7605356574058533
feed_post_generation,FEED-SAMPLE-003,llama-8b,qwen-7b,0.577330470085144
feed_post_generation,FEED-SAMPLE-003,midm-base,midm-mini,0.9191358089447021
feed_post_generation,FEED-SAMPLE-003,midm-base,qwen-7b,0.659599781036377
feed_post_generation,FEED-SAMPLE-003,midm-mini,qwen-7b,0.6904377341270447
feed_post_generation,FEED-SAMPLE-004,exaone,kanana,0.8619785308837891
feed_post_generation,FEED-SAMPLE-004,exaone,llama-8b,0.9229744672775269
feed_post_generation,FEED-SAMPLE-004,exaone,midm-base,0.7945971488952637
feed_post_generation,FEED-SAMPLE-004,exaone,midm-mini,0.9068655967712402
feed_post_generation,FEED-SAMPLE-004,exaone,qwen-7b,0.8308963775634766
feed_post_generation,FEED-SAMPLE-004,kanana,llama-8b,0.8138865232467651
feed_post_generation,FEED-SAMPLE-004,kanana,midm-base,0.7893751859664917
feed_post_generation,FEED-SAMPLE-004,kanana,midm-mini,0.8750789761543274
feed_post_generation,FEED-SAMPLE-004,kanana,qwen-7b,0.7864917516708374
feed_post_generation,FEED-SAMPLE-004,llama-8b,midm-base,0.7199313640594482
feed_post_generation,FEED-SAMPLE-004,llama-8b,midm-mini,0.8560426831245422
feed_post_generation,FEED-SAMPLE-004,llama-8b,qwen-7b,0.8262245059013367
feed_post_generation,FEED-SAMPLE-004,midm-base,midm-mini,0.8016109466552734
feed_post_generation,FEED-SAMPLE-004,midm-base,qwen-7b,0.7949301600456238
feed_post_generation,FEED-SAMPLE-004,midm-mini,qwen-7b,0.8851514458656311
feed_post_generation,FEED-SAMPLE-005,exaone,kanana,0.7792616486549377
feed_post_generation,FEED-SAMPLE-005,exaone,llama-8b,0.9008809328079224
feed_post_generation,FEED-SAMPLE-005,exaone,midm-base,0.8438344597816467
feed_post_generation,FEED-SAMPLE-005,exaone,midm-mini,0.9061411023139954
feed_post_generation,FEED-SAMPLE-005,exaone,qwen-7b,0.8926844000816345
feed_post_generation,FEED-SAMPLE-005,kanana,llama-8b,0.807621955871582
feed_post_generation,FEED-SAMPLE-005,kanana,midm-base,0.7549598813056946
feed_post_generation,FEED-SAMPLE-005,kanana,midm-mini,0.8371100425720215
feed_post_generation,FEED-SAMPLE-005,kanana,qwen-7b,0.7403862476348877
feed_post_generation,FEED-SAMPLE-005,llama-8b,midm-base,0.8267550468444824
feed_post_generation,FEED-SAMPLE-005,llama-8b,midm-mini,0.9376010894775391
feed_post_generation,FEED-SAMPLE-005,llama-8b,qwen-7b,0.8318884372711182
feed_post_generation,FEED-SAMPLE-005,midm-base,midm-mini,0.8352371454238892
feed_post_generation,FEED-SAMPLE-005,midm-base,qwen-7b,0.784477710723877
feed_post_generation,FEED-SAMPLE-005,midm-mini,qwen-7b,0.8536916375160217
feed_post_generation,FEED-SAMPLE-006,exaone,kanana,0.8662534952163696
feed_post_generation,FEED-SAMPLE-006,exaone,llama-8b,0.7075614333152771
feed_post_generation,FEED-SAMPLE-006,exaone,midm-base,0.9003099799156189
feed_post_generation,FEED-SAMPLE-006,exaone,midm-mini,0.863524317741394
feed_post_generation,FEED-SAMPLE-006,exaone,qwen-7b,0.7841330766677856
feed_post_generation,FEED-SAMPLE-006,kanana,llama-8b,0.652857780456543
feed_post_generation,FEED-SAMPLE-006,kanana,midm-base,0.7615101337432861
feed_post_generation,FEED-SAMPLE-006,kanana,midm-mini,0.7090032696723938
feed_post_generation,FEED-SAMPLE-006,kanana,qwen-7b,0.7722780704498291
feed_post_generation,FEED-SAMPLE-006,llama-8b,midm-base,0.7209025621414185
feed_post_generation,FEED-SAMPLE-006,llama-8b,midm-mini,0.7134082913398743
feed_post_generation,FEED-SAMPLE-006,llama-8b,qwen-7b,0.6699844598770142
feed_post_generation,FEED-SAMPLE-006,midm-base,midm-mini,0.9269843101501465
feed_post_generation,FEED-SAMPLE-006,midm-base,qwen-7b,0.833952784538269
feed_post_generation,FEED-SAMPLE-006,midm-mini,qwen-7b,0.8149164915084839
feed_post_generation,FEED-SAMPLE-007,exaone,kanana,0.8898991346359253
feed_post_generation,FEED-SAMPLE-007,exaone,llama-8b,0.7454352378845215
feed_post_generation,FEED-SAMPLE-007,exaone,midm-base,0.8762418031692505
feed_post_generation,FEED-SAMPLE-007,exaone,midm-mini,0.9220700263977051
feed_post_generation,FEED-SAMPLE-007,exaone,qwen-7b,0.8804490566253662
feed_post_generation,FEED-SAMPLE-007,kanana,llama-8b,0.721084713935852
feed_post_generation,FEED-SAMPLE-007,kanana,midm-base,0.8118480443954468
feed_post_generation,FEED-SAMPLE-007,kanana,midm-mini,0.8867576122283936
feed_post_generation,FEED-SAMPLE-007,kanana,qwen-7b,0.8010973930358887
feed_post_generation,FEED-SAMPLE-007,llama-8b,midm-base,0.6951023936271667
feed_post_generation,FEED-SAMPLE-007,llama-8b,midm-mini,0.8301564455032349
feed_post_generation,FEED-SAMPLE-007,llama-8b,qwen-7b,0.8402169346809387
feed_post_generation,FEED-SAMPLE-007,midm-base,midm-mini,0.8932303190231323
feed_post_generation,FEED-SAMPLE-007,midm-base,qwen-7b,0.8185536861419678
feed_post_generation,FEED-SAMPLE-007,midm-mini,qwen-7b,0.9302149415016174
feed_post_generation,FEED-SAMPLE-008,exaone,kanana,0.797368049621582
feed_post_generation,FEED-SAMPLE-008,exaone,llama-8b,0.7821049094200134
feed_post_generation,FEED-SAMPLE-008,exaone,midm-base,0.906998872756958
feed_post_generation,FEED-SAMPLE-008,exaone,midm-mini,0.8900622129440308
feed_post_generation,FEED-SAMPLE-008,exaone,qwen-7b,0.7719278931617737
feed_post_generation,FEED-SAMPLE-008,kanana,llama-8b,0.8450890779495239
feed_post_generation,FEED-SAMPLE-008,kanana,midm-base,0.6829016804695129
feed_post_generation,FEED-SAMPLE-008,kanana,midm-mini,0.7829377055168152
feed_post_generation,FEED-SAMPLE-008,kanana,qwen-7b,0.7154234647750854
feed_post_generation,FEED-SAMPLE-008,llama-8b,midm-base,0.6721276044845581
feed_post_generation,FEED-SAMPLE-008,llama-8b,midm-mini,0.8232680559158325
feed_post_generation,FEED-SAMPLE-008,llama-8b,qwen-7b,0.6807084679603577
feed_post_generation,FEED-SAMPLE-008,midm-base,midm-mini,0.8299936056137085
feed_post_generation,FEED-SAMPLE-008,midm-base,qwen-7b,0.7541288137435913
feed_post_generation,FEED-SAMPLE-008,midm-mini,qwen-7b,0.7508916258811951
feed_post_generation,FEED-SAMPLE-009,exaone,kanana,0.9105764627456665
feed_post_generation,FEED-SAMPLE-009,exaone,llama-8b,0.8300855159759521
feed_post_generation,FEED-SAMPLE-009,exaone,midm-base,0.7995524406433105
feed_post_generation,FEED-SAMPLE-009,exaone,midm-mini,0.9229019284248352
feed_post_generation,FEED-SAMPLE-009,exaone,qwen-7b,0.8834731578826904
feed_post_generation,FEED-SAMPLE-009,kanana,llama-8b,0.8201887011528015
feed_post_generation,FEED-SAMPLE-009,kanana,midm-base,0.6498903036117554
feed_post_generation,FEED-SAMPLE-009,kanana,midm-mini,0.8981032371520996
feed_post_generation,FEED-SAMPLE-009,kanana,qwen-7b,0.8464819192886353
feed_post_generation,FEED-SAMPLE-009,llama-8b,midm-base,0.670456051826477
feed_post_generation,FEED-SAMPLE-009,llama-8b,midm-mini,0.8562276363372803
feed_post_generation,FEED-SAMPLE-009,llama-8b,qwen-7b,0.780120849609375
feed_post_generation,FEED-SAMPLE-009,midm-base,midm-mini,0.7342875003814697
feed_post_generation,FEED-SAMPLE-009,midm-base,qwen-7b,0.7025246620178223
feed_post_generation,FEED-SAMPLE-009,midm-mini,qwen-7b,0.8503437042236328
feed_post_generation,FEED-SAMPLE-010,exaone,kanana,0.7938035130500793
