task,model_a,model_b,pairwise_cosine_mean,pairwise_cosine_std,samples
character_message_generation,qwen-3b,qwen-7b,0.6518126845359802,0.146141575268506,10
character_message_generation,qwen-7b,kanana-nano-2.1b-vllm,0.638089832663536,0.15293314554515727,10
character_message_generation,qwen-3b,kanana-nano-2.1b-vllm,0.6314625561237335,0.050825401585969855,10
character_message_generation,midm-base,midm-mini,0.6206594377756118,0.10023824566570994,10
character_message_generation,llama-3b,kanana-nano-2.1b-vllm,0.6141664206981658,0.1004967584908612,10
character_message_generation,gemma-3-4b-it,qwen-7b,0.6137214958667755,0.13098561869150835,10
character_message_generation,gemma-3-4b-it,midm-mini,0.6123196810483933,0.12739664219550248,10
character_message_generation,midm-base,qwen-7b,0.6072410434484482,0.13135843128712998,10
character_message_generation,midm-mini,qwen-7b,0.6029602855443954,0.14737451283310035,10
character_message_generation,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.5981295257806778,0.14456963748127757,10
character_message_generation,gemma-3-4b-it,midm-base,0.5946081459522248,0.11952010630275124,10
character_message_generation,midm-mini,qwen-3b,0.5881863981485367,0.11604392616295885,10
character_message_generation,midm-mini,kanana-nano-2.1b-vllm,0.5743979781866073,0.10626349882754388,10
character_message_generation,llama-3b,qwen-7b,0.5743534147739411,0.16126226873554744,10
character_message_generation,gemma-3-4b-it,qwen-3b,0.5710717737674713,0.09331278554570771,10
character_message_generation,midm-base,qwen-3b,0.5666677772998809,0.1429003872640563,10
character_message_generation,llama-3b,qwen-3b,0.5662169322371483,0.15541473109563042,10
character_message_generation,midm-base,kanana-nano-2.1b-vllm,0.5644935995340348,0.12370279664068005,10
character_message_generation,llama-3b,midm-mini,0.5450276881456375,0.1115899998643507,10
character_message_generation,llama-3b,gemma-3-4b-it,0.5232903569936752,0.09916768769790595,10
character_message_generation,llama-3b,midm-base,0.5210431665182114,0.11037576133211373,10
feed_post_generation,midm-base,midm-mini,0.749500572681427,0.1229414644980878,10
feed_post_generation,gemma-3-4b-it,midm-mini,0.7303065538406373,0.12434625925932591,10
feed_post_generation,midm-mini,qwen-7b,0.7289490103721619,0.0906151283372321,10
feed_post_generation,midm-mini,kanana-nano-2.1b-vllm,0.7064866155385972,0.13249525217359914,10
feed_post_generation,gemma-3-4b-it,qwen-7b,0.68584064245224,0.09964407392652917,10
feed_post_generation,midm-base,qwen-7b,0.6820676833391189,0.13648149497654763,10
feed_post_generation,gemma-3-4b-it,midm-base,0.6773654639720916,0.10637774895540747,10
feed_post_generation,midm-base,qwen-3b,0.6759269654750824,0.1028040693159546,10
feed_post_generation,qwen-3b,kanana-nano-2.1b-vllm,0.6686012446880341,0.06554747567908517,10
feed_post_generation,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.6643810987472534,0.16657450793350492,10
feed_post_generation,qwen-7b,kanana-nano-2.1b-vllm,0.6529685705900192,0.13523426469455616,10
feed_post_generation,midm-base,kanana-nano-2.1b-vllm,0.6503609538078308,0.14344215003859384,10
feed_post_generation,midm-mini,qwen-3b,0.6474852442741394,0.08443081663453987,10
feed_post_generation,gemma-3-4b-it,qwen-3b,0.6260043114423752,0.10967131888384508,10
feed_post_generation,llama-3b,kanana-nano-2.1b-vllm,0.6245953440666199,0.06654225183591583,10
feed_post_generation,qwen-3b,qwen-7b,0.5982759207487106,0.0822696927092599,10
feed_post_generation,llama-3b,midm-mini,0.5970081806182861,0.10838133304210218,10
feed_post_generation,llama-3b,qwen-3b,0.5879498183727264,0.09594105063573463,10
feed_post_generation,llama-3b,qwen-7b,0.5716547846794129,0.10629304916310231,10
feed_post_generation,llama-3b,gemma-3-4b-it,0.554113221168518,0.10107567073723735,10
feed_post_generation,llama-3b,midm-base,0.5540376901626587,0.08918519419498407,10
planner_chatbot,qwen-3b,kanana-nano-2.1b-vllm,0.7531289398670197,0.1065092540552897,10
planner_chatbot,qwen-3b,qwen-7b,0.7323168337345123,0.09519502720421724,10
planner_chatbot,midm-mini,qwen-7b,0.7287036001682281,0.09594356193749161,10
planner_chatbot,midm-mini,qwen-3b,0.7002453684806824,0.06453647242669544,10
planner_chatbot,llama-3b,qwen-3b,0.6836888432502747,0.15112642000961696,10
planner_chatbot,midm-base,qwen-7b,0.6709730803966523,0.09712111310812276,10
planner_chatbot,midm-base,qwen-3b,0.6519716262817383,0.12221284557718648,10
planner_chatbot,llama-3b,midm-mini,0.6389670103788376,0.1906363977521521,10
planner_chatbot,midm-base,kanana-nano-2.1b-vllm,0.6385582357645034,0.14811224649452323,10
planner_chatbot,llama-3b,gemma-3-4b-it,0.6304014027118683,0.17052273307700047,10
planner_chatbot,gemma-3-4b-it,midm-mini,0.6303520202636719,0.12958472209952732,10
planner_chatbot,gemma-3-4b-it,qwen-7b,0.6303463399410247,0.10107455009821496,10
planner_chatbot,gemma-3-4b-it,qwen-3b,0.6140007942914962,0.11106212479920129,10
planner_chatbot,qwen-7b,kanana-nano-2.1b-vllm,0.6106650292873382,0.10845930618636278,10
planner_chatbot,midm-base,midm-mini,0.6037001490592957,0.1128551418261198,10
planner_chatbot,llama-3b,qwen-7b,0.5869429528713226,0.16705478669891444,10
planner_chatbot,gemma-3-4b-it,midm-base,0.5644062519073486,0.07839266518769399,10
planner_chatbot,midm-mini,kanana-nano-2.1b-vllm,0.5526870042085648,0.09795876184596532,10
planner_chatbot,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.5162534803152085,0.13060598885334432,10
planner_chatbot,llama-3b,kanana-nano-2.1b-vllm,0.5057183176279068,0.1313451212243429,10
planner_chatbot,llama-3b,midm-base,0.46084845066070557,0.11888930701061462,10
quest_generation,midm-mini,qwen-7b,0.47470419481396675,0.18955477740724377,10
quest_generation,midm-mini,kanana-nano-2.1b-vllm,0.46676185429096223,0.17692406517698647,10
quest_generation,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.42574105858802797,0.14314794916621718,10
quest_generation,qwen-7b,kanana-nano-2.1b-vllm,0.4204754441976547,0.1671497376963792,10
quest_generation,midm-base,midm-mini,0.3872841611504555,0.1921131851758739,10
quest_generation,qwen-3b,qwen-7b,0.38547869920730593,0.12152081841716804,10
quest_generation,midm-mini,qwen-3b,0.3793983608484268,0.10035522208566978,10
quest_generation,midm-base,qwen-3b,0.3756181597709656,0.1343164623831098,10
quest_generation,gemma-3-4b-it,midm-base,0.362992998957634,0.0787196130522809,10
quest_generation,midm-base,qwen-7b,0.3485316842794418,0.1818103769070758,10
quest_generation,llama-3b,qwen-3b,0.3404617622494698,0.1245932927192346,10
quest_generation,gemma-3-4b-it,qwen-7b,0.33280480802059176,0.1543546296541692,10
quest_generation,midm-base,kanana-nano-2.1b-vllm,0.32140071988105773,0.1509421761852566,10
quest_generation,gemma-3-4b-it,midm-mini,0.3142716810107231,0.1374720420503747,10
quest_generation,llama-3b,kanana-nano-2.1b-vllm,0.31246075332164763,0.11402890868265253,10
quest_generation,qwen-3b,kanana-nano-2.1b-vllm,0.30471780747175214,0.11505609231553829,10
quest_generation,llama-3b,qwen-7b,0.3034401059150696,0.09038361292975919,10
quest_generation,gemma-3-4b-it,qwen-3b,0.29375176429748534,0.09848314701679355,10
quest_generation,llama-3b,gemma-3-4b-it,0.2930555999279022,0.0892473364144411,10
quest_generation,llama-3b,midm-base,0.2918660417199135,0.09550518913874088,10
quest_generation,llama-3b,midm-mini,0.28947682976722716,0.09110009093812596,10
todo_decomposition,midm-base,qwen-7b,0.9512204527854919,0.047884372474542136,10
todo_decomposition,gemma-3-4b-it,midm-base,0.9336226761341095,0.03137515212828114,10
todo_decomposition,gemma-3-4b-it,qwen-7b,0.9306908547878265,0.031093057407922238,10
todo_decomposition,midm-base,kanana-nano-2.1b-vllm,0.9023100972175598,0.06746049266743072,10
todo_decomposition,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.8814584195613862,0.09386974705096422,10
todo_decomposition,qwen-7b,kanana-nano-2.1b-vllm,0.8636502683162689,0.09415637454086491,10
todo_decomposition,midm-base,midm-mini,0.836530613899231,0.11399302517205778,10
todo_decomposition,gemma-3-4b-it,midm-mini,0.8245817244052887,0.0846381799642434,10
todo_decomposition,qwen-3b,qwen-7b,0.8244130551815033,0.2170585263811604,10
todo_decomposition,midm-mini,qwen-7b,0.8236246049404145,0.10760369039578851,10
todo_decomposition,midm-mini,kanana-nano-2.1b-vllm,0.8197631061077117,0.11173025844211822,10
todo_decomposition,gemma-3-4b-it,qwen-3b,0.8007723331451416,0.19898809118021418,10
todo_decomposition,midm-base,qwen-3b,0.7977081179618836,0.20829487511868117,10
todo_decomposition,midm-mini,qwen-3b,0.7726611256599426,0.1162946997969916,10
todo_decomposition,qwen-3b,kanana-nano-2.1b-vllm,0.7650731533765793,0.21508087743156173,10
todo_decomposition,llama-3b,gemma-3-4b-it,0.6911576494574547,0.20658685896652643,10
todo_decomposition,llama-3b,qwen-7b,0.6804635941982269,0.23820474509086917,10
todo_decomposition,llama-3b,midm-base,0.679673820734024,0.22402558295994454,10
todo_decomposition,llama-3b,kanana-nano-2.1b-vllm,0.6725795924663543,0.2190340986290794,10
todo_decomposition,llama-3b,midm-mini,0.6588714092969894,0.20690121691445126,10
todo_decomposition,llama-3b,qwen-3b,0.6373268902301789,0.23811189230764324,10
