model_key,task,samples,auto_score,json_parse_success_rate,schema_success_rate,korean_output_rate,length_success_rate,forbidden_count,avg_latency_sec,total_latency_sec,avg_generated_tokens,avg_tokens_per_sec,speed_score,judge_score,final_score,samples_per_min
exaone-7.8b,character_message_generation,10,2.33,1.0,0.0,0.0,1.0,0,6.889,68.893,,,3.496,1.0,1.6,8.709
exaone-7.8b,feed_post_generation,20,2.78,1.0,0.0,0.0,1.0,0,5.914,118.273,,,3.795,1.0,1.8,10.146
exaone-7.8b,planner_chatbot,20,2.2,1.0,0.0,0.0,1.0,0,5.782,115.64,,,4.922,1.0,1.54,10.377
exaone-7.8b,quest_generation,20,2.33,1.0,0.0,0.0,1.0,0,5.974,119.483,,,3.776,1.0,1.6,10.043
exaone-7.8b,todo_decomposition,20,2.2,1.0,0.0,0.0,1.0,0,5.731,114.627,,,3.852,1.0,1.54,10.469
gemma-3-4b-it,character_message_generation,10,2.33,1.0,0.0,0.0,1.0,0,0.352,3.522,,,5.0,1.0,1.6,170.372
gemma-3-4b-it,feed_post_generation,20,2.78,1.0,0.0,0.0,1.0,0,0.356,7.114,,,5.0,1.0,1.8,168.689
gemma-3-4b-it,planner_chatbot,20,2.2,1.0,0.0,0.0,1.0,0,0.357,7.135,,,5.0,1.0,1.54,168.176
gemma-3-4b-it,quest_generation,20,2.33,1.0,0.0,0.0,1.0,0,0.356,7.128,,,5.0,1.0,1.6,168.338
gemma-3-4b-it,todo_decomposition,20,2.2,1.0,0.0,0.0,1.0,0,0.351,7.024,,,5.0,1.0,1.54,170.853
midm-mini,character_message_generation,10,4.155,1.0,1.0,1.0,1.0,0,0.879,8.793,25.9,29.448,5.0,3.762,3.94,68.233
midm-mini,feed_post_generation,20,4.778,1.0,1.0,1.0,1.0,0,1.457,29.143,43.7,30.021,5.0,3.494,4.072,41.176
midm-mini,planner_chatbot,20,3.44,0.95,0.95,1.0,0.95,0,2.772,55.431,84.8,30.396,4.943,2.586,2.972,21.649
midm-mini,quest_generation,20,4.008,0.9,0.9,1.0,0.05,0,1.32,26.397,39.65,30.0,4.997,3.405,3.676,45.459
midm-mini,todo_decomposition,20,4.7,0.9,0.9,1.0,1.0,0,2.794,55.884,86.0,30.858,4.732,3.438,4.005,21.473
phi-4-mini,todo_decomposition,1,2.2,1.0,0.0,0.0,1.0,0,3.115,3.115,,,4.66,1.0,1.54,19.263
qwen-7b,character_message_generation,10,4.112,0.9,0.9,1.0,1.0,0,0.975,9.749,42.6,43.809,5.0,3.252,3.639,61.544
qwen-7b,feed_post_generation,20,4.585,0.95,0.95,1.0,0.95,0,1.196,23.919,54.05,45.078,4.998,3.114,3.776,50.169
qwen-7b,planner_chatbot,20,4.54,0.85,0.85,1.0,1.0,0,6.69,133.803,314.65,47.124,4.792,2.331,3.324,8.968
qwen-7b,quest_generation,20,3.798,0.8,0.8,1.0,0.05,0,1.135,22.693,50.65,44.56,5.0,2.712,3.201,52.879
qwen-7b,todo_decomposition,20,4.71,1.0,1.0,1.0,1.0,0,1.854,37.076,87.35,47.185,4.985,3.755,4.185,32.366
