model_key,task,samples,embedding_cosine_mean,bertscore_f1_mean,distinct_1,distinct_2
midm-base,character_message_generation,10,0.5856914,0.72152877,0.9256198347107438,1.0
qwen-7b,character_message_generation,10,0.58327854,0.7167784,0.9262295081967213,1.0
qwen-3b,character_message_generation,10,0.5653331,0.7115931,0.896774193548387,0.993103448275862
gemma-3-4b-it,character_message_generation,10,0.54231834,0.7078937,0.9512195121951219,1.0
midm-mini,character_message_generation,10,0.5347996,0.7112855,0.9112903225806451,1.0
kanana-nano-2.1b-vllm,character_message_generation,10,0.5253579,0.7056574,0.8393782383419689,0.9890710382513661
llama-3b,character_message_generation,10,0.45808873,0.67530155,0.8097345132743363,1.0
qwen-7b,feed_post_generation,10,0.56819904,0.6986994,0.8195488721804511,0.9349593495934959
kanana-nano-2.1b-vllm,feed_post_generation,10,0.5546299,0.70596623,0.6818181818181818,0.8809523809523809
qwen-3b,feed_post_generation,10,0.5505254,0.7063865,0.7569444444444444,0.9253731343283582
llama-3b,feed_post_generation,10,0.5479326,0.6848795,0.8248175182481752,0.9886363636363636
gemma-3-4b-it,feed_post_generation,10,0.5416871,0.69537735,0.7548387096774194,0.9586206896551724
midm-base,feed_post_generation,10,0.52958333,0.6924583,0.7616279069767442,0.9259259259259259
midm-mini,feed_post_generation,10,0.5130699,0.6983039,0.7299270072992701,0.889763779527559
qwen-3b,planner_chatbot,10,0.5903682,0.69253725,0.12929848693259974,0.200836820083682
qwen-7b,planner_chatbot,10,0.5782174,0.64980483,0.25350467289719625,0.4231678486997636
midm-base,planner_chatbot,10,0.57208323,0.6647732,0.36670687575392036,0.6605616605616605
midm-mini,planner_chatbot,10,0.5445121,0.63094676,0.28892455858747995,0.4551386623164764
kanana-nano-2.1b-vllm,planner_chatbot,10,0.5397862,0.6467522,0.1791237113402062,0.35117493472584854
llama-3b,planner_chatbot,10,0.50632286,0.6583427,0.15734989648033126,0.17970401691331925
gemma-3-4b-it,planner_chatbot,10,0.48145333,0.62228197,0.3326226012793177,0.4923747276688453
llama-3b,quest_generation,10,0.47151858,0.6600612,0.8076923076923077,0.9787234042553191
kanana-nano-2.1b-vllm,quest_generation,10,0.41331354,0.64425755,0.7073170731707317,0.8831168831168831
midm-mini,quest_generation,10,0.37185186,0.66766036,0.7894736842105263,0.9777777777777777
qwen-3b,quest_generation,10,0.33367038,0.6615982,0.8051948051948052,0.9722222222222222
qwen-7b,quest_generation,10,0.33219972,0.6691227,0.7843137254901961,0.9440559440559441
gemma-3-4b-it,quest_generation,10,0.315762,0.6516244,0.7414965986394558,0.9343065693430657
midm-base,quest_generation,10,0.3077568,0.65974605,0.7353951890034365,0.9430604982206405
kanana-nano-2.1b-vllm,todo_decomposition,10,0.92811185,0.8786373,0.6530612244897959,0.9318181818181818
midm-base,todo_decomposition,10,0.9080919,0.88544255,0.7948717948717948,0.9558823529411765
gemma-3-4b-it,todo_decomposition,10,0.87975895,0.87235385,0.7349397590361446,0.9452054794520548
qwen-7b,todo_decomposition,10,0.8709518,0.8519448,0.8028169014084507,0.9508196721311475
midm-mini,todo_decomposition,10,0.82380235,0.8302444,0.8227848101265823,0.9710144927536232
qwen-3b,todo_decomposition,10,0.7411054,0.80859995,0.7733333333333333,0.9538461538461539
llama-3b,todo_decomposition,10,0.67164814,0.7160313,0.6041666666666666,0.7674418604651163
