model_key,model_id,task,sample_id,source_file,candidate_source,candidate_text,reference_text,candidate_len,reference_len,parse_error,has_candidate,has_reference,embedding_cosine_similarity,bertscore_precision,bertscore_recall,bertscore_f1
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-001,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""운동하기"", ""tag"": ""건강"", ""date"": null, ""time"": null }, { ""title"": ""프로젝트 기획서 작성"", ""tag"": ""업무"", ""date"": null, ""time"": null }, { ""title"": ""장보기"", ""tag"": ""생활"", ""date"": null, ""time"": null } ] }",운동 운동하기 오늘 프로젝트 프로젝트 기획서 작성하기 오늘 생활 장보기 오늘,207,42,,True,True,0.10632399,0.49896407,0.6892672,0.5788765
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-002,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""발표 자료 수정"", ""tag"": ""업무"", ""date"": ""내일"", ""time"": ""오전"" }, { ""title"": ""팀 회의 참석"", ""tag"": ""업무"", ""date"": ""내일"", ""time"": ""오후 5시"" } ] }",프로젝트 발표 자료 수정하기 내일 오전 회의 팀 회의 참석하기 내일 오후 5시,149,43,,True,True,0.5353103,0.5314106,0.72919196,0.6147859
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-003,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""자격증 강의 1개 듣기"", ""tag"": ""학습"", ""date"": ""이번 주"", ""time"": null }, { ""title"": ""자격증 강의 2개 듣기"", ""tag"": ""학습"", ""date"": ""이번 주"", ""time"": null }, { ""title"": ""자격증 강의 3개 듣기"", ""tag"": ""학습"", ""date"": """,공부 자격증 강의 3개 듣기 이번 주 공부 기출 1회 풀기 이번 주,206,37,"Expecting ',' delimiter: line 14 column 6 (char 221)",True,True,0.43297905,0.54190147,0.6776903,0.6022365
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-004,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""빨래 돌리기"", ""tag"": ""가사"", ""date"": null, ""time"": null }, { ""title"": ""방 청소하기"", ""tag"": ""가사"", ""date"": null, ""time"": null } ] }",집안일 빨래 돌리기 오늘 집안일 방 청소하기 오늘,143,27,,True,True,0.41115043,0.50350213,0.66027653,0.57132965
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-005,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""금요일까지 초안 작성"", ""tag"": ""보고서"", ""date"": ""2023-11-03"", ""time"": ""오후 1시"" }, { ""title"": ""참고자료 정리"", ""tag"": ""보고서"", ""date"": ""2023-11-03"", ""time"": ""오후 3시"" } ] } 참고로,",업무 보고서 초안 작성하기 금요일까지 업무 참고자료 정리하기 금요일까지,178,39,,True,True,0.49614504,0.51799554,0.70811,0.5983136
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-006,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""산책하기"", ""tag"": ""건강"", ""date"": null, ""time"": ""19:00"" }, { ""title"": ""샐러드 준비하기"", ""tag"": ""식사"", ""date"": null, ""time"": ""20:00"" } ] }",운동 산책하기 저녁 7시 요리 샐러드 준비하기,149,25,,True,True,0.32736626,0.48229945,0.6457534,0.5521842
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-007,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""깃 커밋하기"", ""tag"": ""개발"", ""date"": null, ""time"": null }, { ""title"": ""버그 목록 정리하기"", ""tag"": ""품질관리"", ""date"": null, ""time"": null }, { ""title"": ""테스트 돌리기"", ""tag"": ""테스트"", ""date"": null, ""time"": null } ]",개발 깃 커밋하기 오늘 개발 버그 목록 정리하기 오늘 개발 테스트 돌리기 오늘,213,43,"Expecting ',' delimiter: line 21 column 4 (char 313)",True,True,0.4098277,0.52365315,0.72144383,0.60683846
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-008,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""책 읽기"", ""tag"": ""독서"", ""date"": ""내일"", ""time"": null }, { ""title"": ""독서 메모 작성"", ""tag"": ""독서"", ""date"": ""내일"", ""time"": null } ] }",독서 책 30쪽 읽기 내일 독서 독서 메모 남기기 내일,143,30,,True,True,0.5648971,0.4743938,0.6656381,0.553975
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-009,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""물 마시기"", ""tag"": ""건강"", ""date"": null, ""time"": ""오전 10시"" }, { ""title"": ""스트레칭"", ""tag"": ""운동"", ""date"": null, ""time"": ""오전 10시"" } ] }",건강 물 마시기 오전 10시 운동 스트레칭하기 오전 10시,148,32,,True,True,0.54610413,0.52276397,0.731187,0.6096542
exaone,LGAI-EXAONE/EXAONE-3.5-7.8B-Instruct,todo_decomposition,TODO-SAMPLE-010,raw_outputs-exaone.jsonl,raw_output,"{ ""todos"": [ { ""title"": ""책상 정리"", ""tag"": ""청소"", ""date"": null, ""time"": null }, { ""title"": ""메일 확인"", ""tag"": ""업무"", ""date"": null, ""time"": null } ] }",정리 책상 정리하기 업무 메일 확인하기,141,21,,True,True,0.2797132,0.45521662,0.6695187,0.54195154
