model_key,task,sample_id,_source_file,_source_run_id,_source_created_at,auto_eval.json_valid,auto_eval.schema_valid,auto_eval.korean_output,auto_eval.length_valid,auto_eval.output_length,auto_eval.forbidden_detected,auto_eval.error,auto_eval.latency_sec,auto_eval.speed_score,auto_eval.todo_count,auto_eval.todo_count_accuracy,auto_eval.empty_todo_rate,auto_eval.duplicate_todo_rate,auto_eval.tag_presence_rate,auto_eval.date_field_rate,auto_eval.time_field_rate,auto_eval.tag_accuracy_hint,auto_eval.task_coverage_hint,auto_eval.generated_tokens,auto_eval.tokens_per_sec,auto_eval.auto_score,auto_eval.response_type_valid,auto_eval.response_type_accuracy,auto_eval.clarifying_schema_valid,auto_eval.plan_schema_valid,auto_eval.date_valid,auto_eval.todo_convertibility,auto_eval.calendar_convertibility,auto_eval.tag_coverage,auto_eval.todo_direct_overlap_rate,auto_eval.todo_direct_related_violation,auto_eval.persona_keyword_hit_rate,auto_eval.worldview_term_hit,auto_eval.distinct_1,auto_eval.distinct_2,auto_eval.quest_mention_hint,auto_eval.user_todo_leak_rate,auto_eval.repetitive_phrase_hint,auto_eval.sns_post_valid,auto_eval.event_relevance_hint,auto_eval.comment_reply_relevance_hint,auto_eval.feed_context_relevance_hint,auto_eval.pressure_phrase_detected,auto_eval.comfort_phrase_hit,auto_eval.character_name_used
llama-3b,todo_decomposition,TODO-SAMPLE-001,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,True,True,True,True,191,False,False,0.8448,5.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,98.0,116.004,4.6,,,,,,,,,,,,,,,,,,,,,,,,
llama-3b,todo_decomposition,TODO-SAMPLE-002,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,True,True,True,True,73,False,False,0.288,5.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.5,33.0,114.583,4.2,,,,,,,,,,,,,,,,,,,,,,,,
llama-3b,todo_decomposition,TODO-SAMPLE-003,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,True,True,True,True,88,False,False,0.3861,5.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.5,45.0,116.55,4.6,,,,,,,,,,,,,,,,,,,,,,,,
llama-3b,todo_decomposition,TODO-SAMPLE-004,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,True,True,True,True,82,False,False,0.3372,5.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.5,39.0,115.658,4.6,,,,,,,,,,,,,,,,,,,,,,,,
llama-3b,todo_decomposition,TODO-SAMPLE-005,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,True,True,True,True,88,False,False,0.4366,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,52.0,119.102,4.4,,,,,,,,,,,,,,,,,,,,,,,,
llama-3b,todo_decomposition,TODO-SAMPLE-006,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,True,True,True,True,73,False,False,0.3086,5.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,116.656,4.0,,,,,,,,,,,,,,,,,,,,,,,,
llama-3b,todo_decomposition,TODO-SAMPLE-007,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,True,True,True,True,141,False,False,0.724,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,87.0,120.166,4.6,,,,,,,,,,,,,,,,,,,,,,,,
llama-3b,todo_decomposition,TODO-SAMPLE-008,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,True,True,True,True,69,False,False,0.2896,5.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.5,34.0,117.403,4.6,,,,,,,,,,,,,,,,,,,,,,,,
llama-3b,todo_decomposition,TODO-SAMPLE-009,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,True,True,True,True,84,False,False,0.3308,5.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,40.0,120.919,4.4,,,,,,,,,,,,,,,,,,,,,,,,
llama-3b,todo_decomposition,TODO-SAMPLE-010,auto_scores-llama-3b_gemma3-4b.json,20260526_051438_6654ff0b,2026-05-26T05:17:55.286826,False,False,True,True,136,False,False,0.4652,5.0,,,,,,,,,,57.0,122.528,2.6,,,,,,,,,,,,,,,,,,,,,,,,
