model_key,task,samples,distinct_1,distinct_1_unique,distinct_1_total,distinct_2,distinct_2_unique,distinct_2_total
gemma-3-4b-it,character_message_generation,10,0.9512195121951219,117,123,1.0,113,113
kanana-nano-2.1b-vllm,character_message_generation,10,0.8393782383419689,162,193,0.9890710382513661,181,183
llama-3b,character_message_generation,10,0.8097345132743363,183,226,1.0,216,216
midm-base,character_message_generation,10,0.9256198347107438,112,121,1.0,111,111
midm-mini,character_message_generation,10,0.9112903225806451,113,124,1.0,114,114
qwen-3b,character_message_generation,10,0.896774193548387,139,155,0.993103448275862,144,145
qwen-7b,character_message_generation,10,0.9262295081967213,113,122,1.0,112,112
gemma-3-4b-it,feed_post_generation,10,0.7548387096774194,117,155,0.9586206896551724,139,145
kanana-nano-2.1b-vllm,feed_post_generation,10,0.6818181818181818,150,220,0.8809523809523809,185,210
llama-3b,feed_post_generation,10,0.8248175182481752,226,274,0.9886363636363636,261,264
midm-base,feed_post_generation,10,0.7616279069767442,131,172,0.9259259259259259,150,162
midm-mini,feed_post_generation,10,0.7299270072992701,100,137,0.889763779527559,113,127
qwen-3b,feed_post_generation,10,0.7569444444444444,109,144,0.9253731343283582,124,134
qwen-7b,feed_post_generation,10,0.8195488721804511,109,133,0.9349593495934959,115,123
gemma-3-4b-it,planner_chatbot,10,0.3326226012793177,156,469,0.4923747276688453,226,459
kanana-nano-2.1b-vllm,planner_chatbot,10,0.1791237113402062,139,776,0.35117493472584854,269,766
llama-3b,planner_chatbot,10,0.15734989648033126,76,483,0.17970401691331925,85,473
midm-base,planner_chatbot,10,0.36670687575392036,304,829,0.6605616605616605,541,819
midm-mini,planner_chatbot,10,0.28892455858747995,180,623,0.4551386623164764,279,613
qwen-3b,planner_chatbot,10,0.12929848693259974,94,727,0.200836820083682,144,717
qwen-7b,planner_chatbot,10,0.25350467289719625,217,856,0.4231678486997636,358,846
gemma-3-4b-it,quest_generation,10,0.7414965986394558,109,147,0.9343065693430657,128,137
kanana-nano-2.1b-vllm,quest_generation,10,0.7073170731707317,116,164,0.8831168831168831,136,154
llama-3b,quest_generation,10,0.8076923076923077,84,104,0.9787234042553191,92,94
midm-base,quest_generation,10,0.7353951890034365,214,291,0.9430604982206405,265,281
midm-mini,quest_generation,10,0.7894736842105263,150,190,0.9777777777777777,176,180
qwen-3b,quest_generation,10,0.8051948051948052,124,154,0.9722222222222222,140,144
qwen-7b,quest_generation,10,0.7843137254901961,120,153,0.9440559440559441,135,143
gemma-3-4b-it,todo_decomposition,10,0.7349397590361446,61,83,0.9452054794520548,69,73
kanana-nano-2.1b-vllm,todo_decomposition,10,0.6530612244897959,64,98,0.9318181818181818,82,88
llama-3b,todo_decomposition,10,0.6041666666666666,58,96,0.7674418604651163,66,86
midm-base,todo_decomposition,10,0.7948717948717948,62,78,0.9558823529411765,65,68
midm-mini,todo_decomposition,10,0.8227848101265823,65,79,0.9710144927536232,67,69
qwen-3b,todo_decomposition,10,0.7733333333333333,58,75,0.9538461538461539,62,65
qwen-7b,todo_decomposition,10,0.8028169014084507,57,71,0.9508196721311475,58,61
