model_key,task,samples,embedding_cosine_mean,bertscore_f1_mean,distinct_1,distinct_2
qwen-7b,character_message_generation,10,0.5047191,0.6624875,0.8768115942028986,1.0
exaone,character_message_generation,10,0.4962712,0.6813861,0.8192090395480226,0.9820359281437125
llama-8b,character_message_generation,10,0.4908935,0.66506445,0.8482142857142857,0.9901960784313726
midm-base,character_message_generation,10,0.47715396,0.6766319,0.8618421052631579,0.9859154929577465
midm-mini,character_message_generation,10,0.46763262,0.6721768,0.8303571428571429,0.9803921568627451
kanana,character_message_generation,10,0.44294733,0.66409767,0.7903225806451613,0.9715909090909091
llama-8b,feed_post_generation,20,0.49179405,0.6788983,0.7114427860696517,0.9345549738219895
exaone,feed_post_generation,20,0.47397357,0.67213476,0.607645875251509,0.8427672955974843
kanana,feed_post_generation,20,0.47211534,0.6834847,0.5743243243243243,0.8301886792452831
midm-mini,feed_post_generation,20,0.45490152,0.67413265,0.6302816901408451,0.8143939393939394
qwen-7b,feed_post_generation,20,0.43970102,0.6678192,0.6987577639751553,0.8642384105960265
midm-base,feed_post_generation,20,0.43367448,0.6740519,0.6169590643274854,0.8509316770186336
qwen-7b,planner_chatbot,20,0.5015174,0.5777493,0.14744110479285133,0.29565929565929566
exaone,planner_chatbot,20,0.49681354,0.5983151,0.2572072072072072,0.4668181818181818
midm-base,planner_chatbot,20,0.48400074,0.5708457,0.2463359639233371,0.4378563283922463
kanana,planner_chatbot,20,0.47455806,0.5769457,0.14106245513280688,0.2780187997107737
midm-mini,planner_chatbot,20,0.40900654,0.5626713,0.30193905817174516,0.48005698005698005
llama-8b,planner_chatbot,20,0.35489616,0.5717231,0.29133858267716534,0.45286885245901637
kanana,quest_generation,20,0.473418,0.62350035,0.45484949832775917,0.6953405017921147
exaone,quest_generation,20,0.43263388,0.6421701,0.6155606407322655,0.8872901678657075
llama-8b,quest_generation,20,0.43158776,0.6338821,0.7122093023255814,0.9228395061728395
qwen-7b,quest_generation,20,0.4161381,0.6348637,0.6366197183098592,0.8388059701492537
midm-mini,quest_generation,20,0.41271,0.635097,0.5491990846681922,0.8225419664268585
midm-base,quest_generation,20,0.3810529,0.63393825,0.6093418259023354,0.8580931263858093
midm-base,todo_decomposition,20,0.46566638,0.6016393,0.19148936170212766,0.31741573033707865
llama-8b,todo_decomposition,20,0.4169527,0.5939128,0.1736111111111111,0.3179611650485437
exaone,todo_decomposition,20,0.41022438,0.58324957,0.163135593220339,0.2743362831858407
kanana,todo_decomposition,20,0.40333152,0.5945923,0.15873015873015872,0.29691211401425177
midm-mini,todo_decomposition,20,0.38248962,0.58416647,0.16597510373443983,0.3246753246753247
qwen-7b,todo_decomposition,20,0.32976443,0.58213717,0.1574074074074074,0.25485436893203883
