task,sample_id,model_a,model_b,pairwise_cosine_similarity
character_message_generation,MSG-SAMPLE-001,llama-3b,gemma-3-4b-it,0.4981192946434021
character_message_generation,MSG-SAMPLE-001,llama-3b,midm-base,0.572816014289856
character_message_generation,MSG-SAMPLE-001,llama-3b,midm-mini,0.4575774371623993
character_message_generation,MSG-SAMPLE-001,llama-3b,qwen-3b,0.5287704467773438
character_message_generation,MSG-SAMPLE-001,llama-3b,qwen-7b,0.5625613927841187
character_message_generation,MSG-SAMPLE-001,llama-3b,kanana-nano-2.1b-vllm,0.6014407873153687
character_message_generation,MSG-SAMPLE-001,gemma-3-4b-it,midm-base,0.4827914535999298
character_message_generation,MSG-SAMPLE-001,gemma-3-4b-it,midm-mini,0.45978590846061707
character_message_generation,MSG-SAMPLE-001,gemma-3-4b-it,qwen-3b,0.4957813620567322
character_message_generation,MSG-SAMPLE-001,gemma-3-4b-it,qwen-7b,0.4980374872684479
character_message_generation,MSG-SAMPLE-001,gemma-3-4b-it,kanana-nano-2.1b-vllm,0.5700857043266296
character_message_generation,MSG-SAMPLE-001,midm-base,midm-mini,0.5890607833862305
character_message_generation,MSG-SAMPLE-001,midm-base,qwen-3b,0.6344202756881714
character_message_generation,MSG-SAMPLE-001,midm-base,qwen-7b,0.6253477931022644
character_message_generation,MSG-SAMPLE-001,midm-base,kanana-nano-2.1b-vllm,0.6836436986923218
character_message_generation,MSG-SAMPLE-001,midm-mini,qwen-3b,0.5577374696731567
character_message_generation,MSG-SAMPLE-001,midm-mini,qwen-7b,0.5180395245552063
character_message_generation,MSG-SAMPLE-001,midm-mini,kanana-nano-2.1b-vllm,0.5338349342346191
character_message_generation,MSG-SAMPLE-001,qwen-3b,qwen-7b,0.8355919122695923
character_message_generation,MSG-SAMPLE-001,qwen-3b,kanana-nano-2.1b-vllm,0.609055757522583
character_message_generation,MSG-SAMPLE-001,qwen-7b,kanana-nano-2.1b-vllm,0.657941460609436
character_message_generation,MSG-SAMPLE-002,llama-3b,gemma-3-4b-it,0.5268166661262512
character_message_generation,MSG-SAMPLE-002,llama-3b,midm-base,0.4420745372772217
