task,model_a,model_b,pairwise_cosine_mean,pairwise_cosine_std,samples
character_message_generation,exaone,llama-8b,0.8509921610355378,0.060498751388377334,10
character_message_generation,exaone,midm-base,0.8365168929100036,0.0592380918663252,10
character_message_generation,llama-8b,midm-base,0.823562628030777,0.05310890173119356,10
character_message_generation,midm-base,midm-mini,0.8219979584217072,0.11241527447931032,10
character_message_generation,kanana,llama-8b,0.8173310101032257,0.0497111475766679,10
character_message_generation,exaone,midm-mini,0.8165337145328522,0.07349227129707503,10
character_message_generation,llama-8b,qwen-7b,0.8098894715309143,0.08966684641144917,10
character_message_generation,exaone,kanana,0.8097460865974426,0.06204793526866628,10
character_message_generation,midm-mini,qwen-7b,0.8090149462223053,0.07994475379065488,10
character_message_generation,llama-8b,midm-mini,0.806677621603012,0.06414452949615107,10
character_message_generation,exaone,qwen-7b,0.798357081413269,0.07809500233540867,10
character_message_generation,midm-base,qwen-7b,0.7852843463420868,0.10652017691958368,10
character_message_generation,kanana,midm-mini,0.7832327067852021,0.05083431329113773,10
character_message_generation,kanana,qwen-7b,0.7781259536743164,0.047643544021406324,10
character_message_generation,kanana,midm-base,0.7761474490165711,0.04010589236420226,10
feed_post_generation,exaone,midm-mini,0.8662163406610489,0.051589642563572784,20
feed_post_generation,exaone,midm-base,0.8558694034814834,0.06013221125436648,20
feed_post_generation,exaone,kanana,0.8468966037034988,0.052605746386915196,20
feed_post_generation,midm-base,midm-mini,0.8243311941623688,0.09012273534405259,20
feed_post_generation,exaone,llama-8b,0.8092628002166748,0.07165002035460023,20
feed_post_generation,kanana,llama-8b,0.8071842312812805,0.06869733097601485,20
feed_post_generation,kanana,midm-mini,0.8070274591445923,0.08367152023078418,20
feed_post_generation,exaone,qwen-7b,0.8048185408115387,0.0815888976162591,20
feed_post_generation,kanana,midm-base,0.7990627348423004,0.09547570223987174,20
feed_post_generation,midm-base,qwen-7b,0.7972323060035705,0.0774560100173064,20
feed_post_generation,midm-mini,qwen-7b,0.7960083574056626,0.10691305880894246,20
feed_post_generation,llama-8b,midm-mini,0.7895053535699844,0.0953935738549542,20
feed_post_generation,llama-8b,qwen-7b,0.7801483184099197,0.09474899501888087,20
feed_post_generation,kanana,qwen-7b,0.779259192943573,0.06572165985724979,20
feed_post_generation,llama-8b,midm-base,0.773472398519516,0.08482295546170639,20
planner_chatbot,kanana,qwen-7b,0.8862778693437576,0.07616981009881785,20
planner_chatbot,exaone,kanana,0.8471521079540253,0.12658061882921023,20
planner_chatbot,exaone,qwen-7b,0.8442654609680176,0.12204614938206008,20
planner_chatbot,llama-8b,midm-mini,0.8052274107933044,0.10812018520462958,20
planner_chatbot,exaone,midm-base,0.7849413126707077,0.14332872008999217,20
planner_chatbot,kanana,midm-base,0.7730396956205368,0.14689017099934978,20
planner_chatbot,midm-base,qwen-7b,0.7698534905910492,0.16135263446596532,20
planner_chatbot,midm-base,midm-mini,0.6670667067170143,0.19232372898617517,20
planner_chatbot,llama-8b,midm-base,0.6515162542462349,0.18361713264895507,20
planner_chatbot,exaone,midm-mini,0.5893840298056603,0.1476124358141408,20
planner_chatbot,exaone,llama-8b,0.5775917440652847,0.13761652032302912,20
planner_chatbot,kanana,midm-mini,0.5442959398031235,0.14726490711440698,20
planner_chatbot,midm-mini,qwen-7b,0.543179415166378,0.15049469575430963,20
planner_chatbot,kanana,llama-8b,0.5348172202706337,0.09320976579694676,20
planner_chatbot,llama-8b,qwen-7b,0.5192995727062225,0.08729390661864986,20
quest_generation,kanana,llama-8b,0.6553615301847457,0.11913723026807554,20
quest_generation,exaone,midm-base,0.6545456498861313,0.1241352786628954,20
quest_generation,kanana,midm-mini,0.6461469680070877,0.06948653544443227,20
quest_generation,exaone,kanana,0.6324651360511779,0.07251862927873129,20
quest_generation,kanana,qwen-7b,0.6196220025420189,0.1314615107090433,20
quest_generation,exaone,midm-mini,0.6136831149458886,0.10526642065887325,20
quest_generation,llama-8b,midm-mini,0.6094135627150535,0.11986451117619447,20
quest_generation,kanana,midm-base,0.6013528943061829,0.12457824734072419,20
quest_generation,midm-base,qwen-7b,0.5943655610084534,0.11221374657001751,20
quest_generation,midm-base,midm-mini,0.5846672043204307,0.12286390675636459,20
quest_generation,exaone,llama-8b,0.5807891234755516,0.10227012096668449,20
quest_generation,midm-mini,qwen-7b,0.579760892689228,0.08422823181588487,20
quest_generation,llama-8b,qwen-7b,0.576071560382843,0.1284765838682255,20
quest_generation,exaone,qwen-7b,0.5665425583720207,0.11822921686227061,20
quest_generation,llama-8b,midm-base,0.5512340113520622,0.11401729490765235,20
todo_decomposition,exaone,kanana,0.9477123647928238,0.06577437078513587,20
todo_decomposition,exaone,qwen-7b,0.9374114364385605,0.07195455974466086,20
todo_decomposition,exaone,midm-mini,0.936217051744461,0.06250852098135343,20
todo_decomposition,exaone,llama-8b,0.9318909972906113,0.06210108167707646,20
todo_decomposition,kanana,llama-8b,0.920511144399643,0.062422106551814426,20
todo_decomposition,midm-mini,qwen-7b,0.9183659881353379,0.0844397498382093,20
todo_decomposition,llama-8b,qwen-7b,0.9120982497930527,0.0632175195982659,20
todo_decomposition,kanana,qwen-7b,0.9115267425775528,0.09092272008641483,20
todo_decomposition,llama-8b,midm-mini,0.9075045168399811,0.06985264809074254,20
todo_decomposition,kanana,midm-mini,0.8861692667007446,0.10880692932451953,20
todo_decomposition,kanana,midm-base,0.8699532598257065,0.16183909739073077,20
todo_decomposition,llama-8b,midm-base,0.8655531913042068,0.1376869184484617,20
todo_decomposition,exaone,midm-base,0.8604898869991302,0.16258391834973582,20
todo_decomposition,midm-base,qwen-7b,0.8204772114753723,0.18491200345474107,20
todo_decomposition,midm-base,midm-mini,0.7919980853796005,0.1567077888834183,20
