model_key,task,samples,auto_score,json_parse_success_rate,schema_success_rate,korean_output_rate,length_success_rate,forbidden_count,avg_latency_sec,total_latency_sec,avg_generated_tokens,avg_tokens_per_sec,speed_score,judge_score,final_score,samples_per_min,_source_file
gemma-3-4b-it,character_message_generation,10,4.29,1.0,1.0,1.0,1.0,0.0,1.352,13.523,87.3,64.4,5.0,3.6,3.91,44.369,final_summary-llama-3b_gemma3-4b.csv
gemma-3-4b-it,feed_post_generation,10,4.537,0.9,0.9,1.0,1.0,0.0,1.409,14.094,96.0,68.129,5.0,3.225,3.815,42.571,final_summary-llama-3b_gemma3-4b.csv
gemma-3-4b-it,planner_chatbot,10,3.52,0.9,0.9,1.0,1.0,0.0,7.42,74.202,512.0,69.172,4.758,2.825,3.138,8.086,final_summary-llama-3b_gemma3-4b.csv
gemma-3-4b-it,quest_generation,10,3.722,0.8,0.8,1.0,0.1,0.0,0.94,9.397,64.0,68.141,5.0,2.825,3.229,63.853,final_summary-llama-3b_gemma3-4b.csv
gemma-3-4b-it,todo_decomposition,10,4.92,1.0,1.0,1.0,1.0,0.0,1.917,19.17,128.0,66.794,5.0,3.525,4.153,31.299,final_summary-llama-3b_gemma3-4b.csv
llama-3b,character_message_generation,10,3.444,0.6,0.6,1.0,0.7,0.0,0.529,5.285,58.9,111.123,5.0,2.05,2.677,113.52,final_summary-llama-3b_gemma3-4b.csv
llama-3b,feed_post_generation,10,4.344,0.8,0.8,1.0,0.8,0.0,0.663,6.628,76.9,115.982,5.0,2.112,3.117,90.525,final_summary-llama-3b_gemma3-4b.csv
llama-3b,planner_chatbot,10,3.4,0.9,0.9,1.0,0.9,0.0,0.837,8.366,102.9,121.086,5.0,2.05,2.657,71.722,final_summary-llama-3b_gemma3-4b.csv
llama-3b,quest_generation,10,3.822,0.9,0.9,1.0,0.6,0.0,0.303,3.029,33.7,109.778,5.0,2.163,2.909,198.105,final_summary-llama-3b_gemma3-4b.csv
llama-3b,todo_decomposition,10,4.26,0.9,0.9,1.0,1.0,0.0,0.441,4.411,52.1,117.957,5.0,2.85,3.484,136.027,final_summary-llama-3b_gemma3-4b.csv
midm-base,character_message_generation,10,4.312,1.0,1.0,1.0,1.0,0.0,9.452,94.523,,,2.709,4.451,4.387,6.348,final_summary-midm_base.csv
midm-base,feed_post_generation,10,4.706,1.0,1.0,1.0,1.0,0.0,12.08,120.797,,,1.898,3.663,4.133,4.967,final_summary-midm_base.csv
midm-base,planner_chatbot,10,4.64,0.9,0.9,1.0,1.0,0.0,89.735,897.352,,,1.0,3.126,3.807,0.669,final_summary-midm_base.csv
