model_key,task,samples,distinct_1,distinct_1_unique,distinct_1_total,distinct_2,distinct_2_unique,distinct_2_total
exaone,character_message_generation,10,0.8192090395480226,145,177,0.9820359281437125,164,167
kanana,character_message_generation,10,0.7903225806451613,147,186,0.9715909090909091,171,176
llama-8b,character_message_generation,10,0.8482142857142857,95,112,0.9901960784313726,101,102
midm-base,character_message_generation,10,0.8618421052631579,131,152,0.9859154929577465,140,142
midm-mini,character_message_generation,10,0.8303571428571429,93,112,0.9803921568627451,100,102
qwen-7b,character_message_generation,10,0.8768115942028986,121,138,1.0,128,128
exaone,feed_post_generation,20,0.607645875251509,302,497,0.8427672955974843,402,477
kanana,feed_post_generation,20,0.5743243243243243,255,444,0.8301886792452831,352,424
llama-8b,feed_post_generation,20,0.7114427860696517,286,402,0.9345549738219895,357,382
midm-base,feed_post_generation,20,0.6169590643274854,211,342,0.8509316770186336,274,322
midm-mini,feed_post_generation,20,0.6302816901408451,179,284,0.8143939393939394,215,264
qwen-7b,feed_post_generation,20,0.6987577639751553,225,322,0.8642384105960265,261,302
exaone,planner_chatbot,20,0.2572072072072072,571,2220,0.4668181818181818,1027,2200
kanana,planner_chatbot,20,0.14106245513280688,393,2786,0.2780187997107737,769,2766
llama-8b,planner_chatbot,20,0.29133858267716534,148,508,0.45286885245901637,221,488
midm-base,planner_chatbot,20,0.2463359639233371,437,1774,0.4378563283922463,768,1754
midm-mini,planner_chatbot,20,0.30193905817174516,218,722,0.48005698005698005,337,702
qwen-7b,planner_chatbot,20,0.14744110479285133,363,2462,0.29565929565929566,722,2442
exaone,quest_generation,20,0.6155606407322655,269,437,0.8872901678657075,370,417
kanana,quest_generation,20,0.45484949832775917,136,299,0.6953405017921147,194,279
llama-8b,quest_generation,20,0.7122093023255814,245,344,0.9228395061728395,299,324
midm-base,quest_generation,20,0.6093418259023354,287,471,0.8580931263858093,387,451
midm-mini,quest_generation,20,0.5491990846681922,240,437,0.8225419664268585,343,417
qwen-7b,quest_generation,20,0.6366197183098592,226,355,0.8388059701492537,281,335
exaone,todo_decomposition,20,0.163135593220339,77,472,0.2743362831858407,124,452
kanana,todo_decomposition,20,0.15873015873015872,70,441,0.29691211401425177,125,421
llama-8b,todo_decomposition,20,0.1736111111111111,75,432,0.3179611650485437,131,412
midm-base,todo_decomposition,20,0.19148936170212766,72,376,0.31741573033707865,113,356
midm-mini,todo_decomposition,20,0.16597510373443983,80,482,0.3246753246753247,150,462
qwen-7b,todo_decomposition,20,0.1574074074074074,68,432,0.25485436893203883,105,412
